Pos,Num,Player,MT,Team,K,Avg,H,Avg,D,Avg,M,Avg,HO,Avg,T,Avg,FF,FA,G,Avg,B,SC,Rat,Avg
93,48,Mark Keane,1,Adelaide,14,14,4,4,18,18,8,8,0,0,2,2,0,1,0,0,0,0,79,79
94,13,Luke Ryan,1,Fremantle,14,14,4,4,18,18,7,7,0,0,2,2,0,0,0,0,0,0,79,79
95,22,James Harmes,1,Western Bulldogs,4,4,17,17,21,21,3,3,0,0,5,5,1,1,1,1,0,6,79,79
96,35,Jack Sinclair,1,St Kilda,18,18,4,4,22,22,3,3,0,0,2,2,0,0,0,0,0,0,79,79
97,29,Clay Hall,1,West Coast,10,10,12,12,22,22,4,4,0,0,4,4,0,1,0,0,0,0,79,79
98,5,Caleb Daniel,1,North Melbourne,18,18,8,8,26,26,3,3,0,0,0,0,0,0,0,0,0,0,79,79
99,9,Zak Butters,1,Port Adelaide,11,11,19,19,30,30,4,4,0,0,1,1,1,3,0,0,0,0,79,79
100,19,Mitchell Georgiades,1,Port Adelaide,10,10,1,1,11,11,6,6,0,0,1,1,1,3,5,5,2,32,78,78
Totals,,,50,,572,11.4,460,9.2,1032,20.6,242,4.8,192,3.8,169,3.4,48,51,23,0.5,17,155,4280,85.6
101,31,Connor Macdonald,1,Hawthorn,8,8,8,8,16,16,4,4,0,0,3,3,1,0,2,2,1,13,78,78
102,30,Nathan O'Driscoll,1,Fremantle,13,13,4,4,17,17,4,4,0,0,3,3,0,0,1,1,1,7,78,78
103,33,Brodie Smith,1,Adelaide,8,8,12,12,20,20,5,5,0,0,5,5,1,2,0,0,0,0,78,78
104,12,Tom De Koning,1,Carlton,9,9,9,9,18,18,1,1,21,21,1,1,3,0,0,0,1,1,77,77
105,17,Jack Graham,1,West Coast,8,8,11,11,19,19,1,1,0,0,8,8,2,2,0,0,0,0,77,77
106,8,James Rowbottom,1,Sydney,8,8,6,6,14,14,2,2,0,0,7,7,1,1,1,1,2,8,76,76
107,12,Angus Sheldrick,1,Sydney,9,9,7,7,16,16,2,2,0,0,7,7,1,0,0,0,0,0,76,76
108,28,Cam Mackenzie,1,Hawthorn,11,11,9,9,20,20,3,3,0,0,4,4,2,1,0,0,1,1,76,76
109,13,Clayton Oliver,1,Melbourne,8,8,16,16,24,24,1,1,0,0,6,6,2,3,0,0,0,0,76,76
110,2,Hayden McLean,1,Sydney,7,7,3,3,10,10,4,4,9,9,6,6,2,0,0,0,1,1,75,75
111,13,Taylor Walker,1,Adelaide,11,11,5,5,16,16,6,6,0,0,0,0,0,0,2,2,2,14,75,75
112,25,Josh Ward,1,Hawthorn,16,16,4,4,20,20,3,3,0,0,3,3,0,1,0,0,1,1,75,75
113,11,Conor Nash,1,Hawthorn,11,11,10,10,21,21,1,1,0,0,5,5,2,1,0,0,0,0,75,75
114,38,Max Ramsden,1,Hawthorn,8,8,4,4,12,12,4,4,4,4,1,1,3,0,3,3,1,19,74,74
115,13,Dylan Moore,1,Hawthorn,6,6,9,9,15,15,5,5,0,0,4,4,1,0,1,1,0,6,74,74
116,10,Travis Boak,1,Port Adelaide,7,7,14,14,21,21,3,3,0,0,2,2,2,0,1,1,0,6,74,74
117,17,James Jordon,1,Sydney,5,5,6,6,11,11,0,0,0,0,10,10,0,0,1,1,0,6,73,73
118,28,Willem Drew,1,Port Adelaide,7,7,8,8,15,15,4,4,0,0,7,7,2,2,0,0,0,0,73,73
119,17,Daniel Rioli,1,Gold Coast,12,12,5,5,17,17,6,6,0,0,2,2,1,0,0,0,0,0,73,73
120,27,Justin McInerney,1,Sydney,10,10,7,7,17,17,6,6,0,0,1,1,1,0,1,1,0,6,73,73
121,32,Bodhi Uwland,1,Gold Coast,10,10,3,3,13,13,8,8,0,0,4,4,2,2,0,0,0,0,72,72
122,21,Noah Balta,1,Richmond,12,12,2,2,14,14,8,8,1,1,1,1,2,0,0,0,1,1,72,72
123,4,Marcus Bontempelli,1,Western Bulldogs,8,8,10,10,18,18,4,4,0,0,2,2,2,0,1,1,0,6,72,72
124,4,Oliver Hollands,1,Carlton,8,8,10,10,18,18,2,2,0,0,4,4,3,1,1,1,0,6,72,72
125,33,Lachlan Sullivan,1,Collingwood,6,6,7,7,13,13,5,5,0,0,5,5,0,1,1,1,0,6,70,70
126,11,Daniel McStay,1,Collingwood,8,8,3,3,11,11,5,5,7,7,4,4,0,0,0,0,1,1,69,69
127,16,Massimo D'Ambrosio,1,Hawthorn,14,14,2,2,16,16,4,4,0,0,2,2,2,0,0,0,1,1,69,69
128,8,Josh Sinn,1,Port Adelaide,14,14,3,3,17,17,7,7,0,0,0,0,0,0,0,0,0,0,69,69
129,9,Dan Houston,1,Collingwood,9,9,9,9,18,18,6,6,0,0,0,0,0,0,1,1,0,6,69,69
130,19,Bailey Humphrey,1,Gold Coast,10,10,2,2,12,12,5,5,0,0,4,4,1,4,2,2,2,14,68,68
131,7,Jase Burgoyne,1,Port Adelaide,9,9,6,6,15,15,5,5,0,0,3,3,1,0,0,0,1,1,68,68
132,16,Edward Allan,1,Collingwood,6,6,10,10,16,16,4,4,0,0,4,4,0,0,0,0,2,2,68,68
133,27,Wil Powell,1,Gold Coast,14,14,3,3,17,17,6,6,0,0,2,2,0,2,0,0,0,0,68,68
134,13,Hugo Ralphsmith,1,Richmond,7,7,10,10,17,17,4,4,0,0,2,2,1,0,1,1,0,6,68,68
135,5,Jack Ross,1,Richmond,8,8,15,15,23,23,2,2,0,0,2,2,0,0,0,0,0,0,68,68
136,32,Tom Sparrow,1,Melbourne,8,8,2,2,10,10,7,7,0,0,5,5,1,1,0,0,0,0,67,67
137,33,Sam Clohesy,1,Gold Coast,9,9,2,2,11,11,5,5,0,0,5,5,0,0,0,0,1,1,67,67
138,33,Darcy Byrne-Jones,1,Port Adelaide,5,5,9,9,14,14,4,4,0,0,2,2,1,0,2,2,1,13,67,67
139,15,Sam Wicks,1,Sydney,9,9,9,9,18,18,2,2,0,0,4,4,0,0,0,0,0,0,67,67
