"","venue_name","match_id","match_home_team","match_away_team","match_date","match_local_time","match_attendance","match_round","match_home_team_goals","match_home_team_behinds","match_home_team_score","match_away_team_goals","match_away_team_behinds","match_away_team_score","match_margin","match_winner","match_weather_temp_c","match_weather_type","player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg","player_is_retired","player_team","guernsey_number","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","supercoach_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils","subbed","player_position","date"
"21","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12634,"Tom","McCartin",194,0,FALSE,"Sydney",30,7,7,0,7,5,71,1,1,0,1,0,3,0,2,1,1,0,3,5,2,1,1,0,0,89,51,NA,0,0,2,151,2,0,0,0,0,6,1,0,5,0,0,0,0,0,3,6,5.1,0,0,2,1,NA,"CHF",2025-03-07
"22","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12677,"Ben","Paton",187,0,FALSE,"Sydney",25,4,2,8,12,11,92,0,0,0,1,1,0,0,1,0,1,0,5,6,0,0,3,0,0,73,35,NA,0,0,2,140,0,6,0,1,1,0,0,11,4,0,5,0,0,0,0,12,7.9,0,2,0,3,NA,"HBFR",2025-03-07
"23","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12678,"Conor","Nash",198,0,FALSE,"Hawthorn",11,8,2,12,20,13,65,1,0,0,5,0,3,6,2,1,2,0,12,9,0,1,0,1,0,80,75,NA,1,5,4,206,1,2,1,0,0,0,0,9,4,4,10,0,0,0,0,20,13,2,2,1,0,NA,"INT",2025-03-07
"24","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12699,"Nick","Blakey",196,0,FALSE,"Sydney",22,21,3,5,26,21,81,1,0,0,0,13,1,0,4,2,0,0,6,9,0,0,6,4,0,87,90,NA,0,0,3,804,4,8,0,0,4,0,0,1,16,0,4,0,0,1,0,1,22.4,0,1,1,6,NA,"BPL",2025-03-07
"25","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12710,"Dylan","Moore",177,0,FALSE,"Hawthorn",13,10,3,8,18,13,72,2,1,0,1,0,3,1,1,2,0,0,7,10,1,2,0,0,0,84,74,NA,0,1,6,206,2,1,0,0,0,2,1,3,7,2,5,0,0,0,0,12,12.8,0,0,3,0,NA,"WL",2025-03-07
"26","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12711,"Justin","McInerney",189,0,FALSE,"Sydney",27,11,6,5,16,13,81,0,1,0,2,0,2,1,4,1,4,0,8,9,2,0,0,0,2,87,59,NA,0,1,6,192,2,0,1,0,0,0,0,9,9,1,4,0,0,0,0,14,3.8,4,0,1,0,NA,"WR",2025-03-07
"27","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12715,"James","Rowbottom",186,0,FALSE,"Sydney",8,13,2,3,16,12,75,1,0,0,2,0,4,3,2,0,0,0,4,11,0,0,0,0,0,80,65,NA,1,2,5,250,3,2,1,0,0,0,0,13,9,1,4,0,0,0,1,19,8.5,0,1,1,0,NA,"R",2025-03-07
"28","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12794,"Will","Day",191,0,NA,"Hawthorn",12,17,4,9,26,21,81,3,0,0,6,4,6,9,1,6,0,0,13,12,0,0,2,0,1,73,129,NA,2,7,7,454,2,5,1,0,0,0,0,8,13,0,4,0,0,1,0,21,26.2,0,3,3,1,NA,"FPR",2025-03-07
"29","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12799,"Chad","Warner",185,0,NA,"Sydney",1,16,5,5,21,16,76,2,1,0,2,3,6,2,3,1,1,0,6,15,0,1,0,4,1,87,92,NA,1,1,12,602,3,2,0,0,0,0,0,12,12,1,5,0,0,0,0,18,15.5,0,4,3,0,NA,"RR",2025-03-07
"30","SCG",16843,"Sydney","Hawthorn","2025-03-07","19:40:00",0,"Opening Round",11,10,76,14,12,96,20,"Hawthorn",27,"RAIN",12820,"Sam","Wicks",181,0,NA,"Sydney",15,13,3,5,18,12,67,0,0,0,4,3,1,0,2,3,1,0,6,10,0,0,3,0,0,90,74,NA,0,0,4,319,3,9,0,0,0,0,0,10,8,0,3,0,0,1,0,11,8.8,0,1,0,3,NA,"BPR",2025-03-07
